unit,time,treat,y0,y
1,1,0,5.5,5.5
1,2,1,6.0,8.0
1,3,0,6.5,6.5
1,4,1,7.0,9.0
1,5,0,7.5,7.5
1,6,1,8.0,10.0
2,1,0,6.5,6.5
2,2,1,7.0,9.0
2,3,0,7.5,7.5
2,4,1,8.0,10.0
2,5,0,8.5,8.5
2,6,1,9.0,11.0
3,1,0,4.5,4.5
3,2,1,5.0,7.0
3,3,0,5.5,5.5
3,4,1,6.0,8.0
3,5,0,6.5,6.5
3,6,1,7.0,9.0
4,1,0,5.5,5.5
4,2,1,6.0,8.0
4,3,0,6.5,6.5
4,4,1,7.0,9.0
4,5,0,7.5,7.5
4,6,1,8.0,10.0
5,1,0,6.5,6.5
5,2,1,7.0,9.0
5,3,0,7.5,7.5
5,4,1,8.0,10.0
5,5,0,8.5,8.5
5,6,1,9.0,11.0
6,1,0,4.5,4.5
6,2,1,5.0,7.0
6,3,0,5.5,5.5
6,4,1,6.0,8.0
6,5,0,6.5,6.5
6,6,1,7.0,9.0
7,1,0,5.5,5.5
7,2,1,6.0,8.0
7,3,0,6.5,6.5
7,4,1,7.0,9.0
7,5,0,7.5,7.5
7,6,1,8.0,10.0
8,1,0,6.5,6.5
8,2,1,7.0,9.0
8,3,0,7.5,7.5
8,4,1,8.0,10.0
8,5,0,8.5,8.5
8,6,1,9.0,11.0
9,1,0,4.5,4.5
9,2,1,5.0,7.0
9,3,0,5.5,5.5
9,4,1,6.0,8.0
9,5,0,6.5,6.5
9,6,1,7.0,9.0
10,1,0,5.5,5.5
10,2,1,6.0,8.0
10,3,0,6.5,6.5
10,4,1,7.0,9.0
10,5,0,7.5,7.5
10,6,1,8.0,10.0
11,1,0,6.5,6.5
11,2,1,7.0,9.0
11,3,0,7.5,7.5
11,4,1,8.0,10.0
11,5,0,8.5,8.5
11,6,1,9.0,11.0
12,1,0,4.5,4.5
12,2,1,5.0,7.0
12,3,0,5.5,5.5
12,4,1,6.0,8.0
12,5,0,6.5,6.5
12,6,1,7.0,9.0
13,1,0,5.5,5.5
13,2,1,6.0,8.0
13,3,0,6.5,6.5
13,4,1,7.0,9.0
13,5,0,7.5,7.5
13,6,1,8.0,10.0
14,1,0,6.5,6.5
14,2,1,7.0,9.0
14,3,0,7.5,7.5
14,4,1,8.0,10.0
14,5,0,8.5,8.5
14,6,1,9.0,11.0
15,1,0,4.5,4.5
15,2,1,5.0,7.0
15,3,0,5.5,5.5
15,4,1,6.0,8.0
15,5,0,6.5,6.5
15,6,1,7.0,9.0
16,1,0,5.5,5.5
16,2,1,6.0,8.0
16,3,0,6.5,6.5
16,4,1,7.0,9.0
16,5,0,7.5,7.5
16,6,1,8.0,10.0
17,1,0,6.5,6.5
17,2,1,7.0,9.0
17,3,0,7.5,7.5
17,4,1,8.0,10.0
17,5,0,8.5,8.5
17,6,1,9.0,11.0
18,1,0,4.5,4.5
18,2,1,5.0,7.0
18,3,0,5.5,5.5
18,4,1,6.0,8.0
18,5,0,6.5,6.5
18,6,1,7.0,9.0
19,1,0,5.5,5.5
19,2,1,6.0,8.0
19,3,0,6.5,6.5
19,4,1,7.0,9.0
19,5,0,7.5,7.5
19,6,1,8.0,10.0
20,1,0,6.5,6.5
20,2,1,7.0,9.0
20,3,0,7.5,7.5
20,4,1,8.0,10.0
20,5,0,8.5,8.5
20,6,1,9.0,11.0
21,1,0,-2.5,-2.5
21,2,0,-2.0,-2.0
21,3,0,-1.5,-1.5
21,4,0,-1.0,-1.0
21,5,0,-0.5,-0.5
21,6,0,0.0,0.0
22,1,0,-1.5,-1.5
22,2,0,-1.0,-1.0
22,3,0,-0.5,-0.5
22,4,0,0.0,0.0
22,5,0,0.5,0.5
